date,equity,contango,spy_iv,qqq_iv,iwm_iv,spy_rich,qqq_rich,iwm_rich,rungs,at_risk,dry_run,note
2026-06-24,100000.0,,19.49,,,,,,,,False,[v1] flat: filters not met
2026-07-01,100000.0,,16.4,,,,,,,,False,[v1] False
2026-07-02,100000.0,True,16.6,27.7,21.7,False,False,False,0.0,0.0,False,flat/hold: no action
2026-07-03,100000.0,True,16.6,27.7,21.7,False,False,False,0.0,0.0,False,flat/hold: no action
2026-07-06,100000.0,True,15.8,28.0,21.6,False,False,False,0.0,0.0,False,flat/hold: no action
2026-07-07,100000.0,True,15.6,26.8,21.0,False,False,False,0.0,0.0,False,flat/hold: no action
2026-07-08,100000.0,True,16.1,27.9,21.7,False,False,False,0.0,0.0,False,flat/hold: no action
2026-07-09,100000.0,True,16.9,27.9,22.1,False,False,False,0.0,0.0,False,flat/hold: no action
2026-07-10,100000.0,True,15.8,26.9,20.8,False,False,False,0.0,0.0,False,flat/hold: no action
2026-07-13,99687.04,True,15.0,24.9,20.0,False,False,True,1.0,2808.0,False,flat/hold: no action
2026-07-14,99770.23,True,17.2,27.3,22.1,False,False,True,1.0,2808.0,False,flat/hold: no action
2026-07-15,99770.23,True,16.5,26.3,20.7,False,False,True,1.0,2808.0,False,flat/hold: no action
2026-07-16,99902.23,True,15.7,25.6,19.9,False,False,True,1.0,2808.0,False,flat/hold: no action
2026-07-17,99890.23,True,16.7,27.3,20.6,False,False,True,1.0,2808.0,False,flat/hold: no action
2026-07-20,99773.87,True,18.8,29.0,21.7,True,False,True,3.0,8205.0,False,flat/hold: no action
2026-07-21,99944.72,True,18.6,28.5,22.0,False,False,True,3.0,8205.0,False,flat/hold: no action
2026-07-22,99990.72,True,17.1,26.7,20.7,False,False,True,3.0,8205.0,False,flat/hold: no action
2026-07-23,99681.72,True,16.6,26.7,21.1,False,False,True,3.0,8205.0,False,flat/hold: no action
2026-07-24,99940.72,True,18.7,28.1,22.6,True,False,True,3.0,8205.0,False,flat/hold: no action
2026-07-27,99138.44,True,18.6,28.4,22.3,True,False,True,5.0,13633.0,False,flat/hold: no action
2026-07-28,99431.01,True,18.7,28.6,22.5,True,True,True,5.0,13987.0,False,flat/hold: no action
2026-07-29,98797.86,True,18.2,28.6,22.3,True,True,True,5.0,13987.0,False,entries halted (EXP-010 FAIL) — managing open rungs only
2026-07-30,99525.86,True,18.2,28.6,22.3,False,False,True,5.0,13987.0,False,entries halted (EXP-010 FAIL) — managing open rungs only
2026-07-31,99669.86,True,20.7,30.8,23.9,True,False,True,5.0,13987.0,False,entries halted (EXP-010 FAIL) — managing open rungs only
2026-08-03,100427.86,True,16.0,26.0,20.3,False,False,False,5.0,13987.0,False,entries halted (EXP-010 FAIL) — managing open rungs only
2026-08-04,98883.36,True,15.9,24.8,20.1,False,False,False,4.0,11027.0,False,entries halted (EXP-010 FAIL) — managing open rungs only
2026-08-05,98298.0,True,15.9,24.8,20.1,False,False,False,3.0,8555.0,False,SPY LOSS-STOP (value 2.00 vs credit 0.82) pnl -540; entries halted (EXP-010 FAIL) — managing open rungs only
